Source Term ID	Source Term	TEXT2TERM_MAPPING	TEXT2TERM_MAPPING_LABEL	MAPPING	MAPPING_LABEL	CATEGORY	IS_DISEASE	IS_MEASUREMENT	IS_PHENOTYPE	IS_AMOUNT	IS_PROCESS			Total	
qwNAdBcE4H	Premature separation of placenta	EFO:1001754	Abruptio Placentae	EFO:1001754	Abruptio Placentae	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
KuMmbQv7CB	Retention of urine	HP:0000016	Urinary retention	HP:0000016	Urinary retention	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
AyKZHCXYo6	Unspecified urinary incontinence	HP:0000020	Urinary incontinence	HP:0000020	Urinary incontinence	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
7fnJV8xVtx	Isolated proteinuria	HP:0000093	Proteinuria	HP:0000093	proteinuria	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
7jH9XYGruW	Cleft palate	HP:0000175	Cleft palate	HP:0000175	cleft palate	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
6CqFuaSDs7	Hydrocephalus	HP:0000238	Hydrocephalus	HP:0000238	hydrocephalus	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
EHBoPdVBsd	Visual disturbances	HP:0001288	Gait disturbance	HP:0000505	Visual impairment	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE				
HDRFHVX2hB	Unspecified dementia	MONDO:0001627	dementia	HP:0000726	dementia	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
5KFd9pDhc6	Unspecified haematuria	HP:0000790	Hematuria	HP:0000790	hematuria	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
KxL2FHBbvU	Cholecystitis	HP:0001082	Cholecystitis	HP:0001082	Cholecystitis	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
Gr2gssBrZc	Dystonia	HP:0001332	Dystonia	HP:0001332	Dystonia	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
CXZhifDBaW	Ascites	HP:0001541	Ascites	HP:0001541	Ascites	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
9vBTPzb2ce	Iron deficiency anaemia	HP:0001891	Iron deficiency anemia	HP:0001891	Iron deficiency anemia	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
9dBvpL2Mxg	Acute renal failure	MONDO:0002492	acute kidney failure	HP:0001919	acute kidney injury	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE				
7dBU3czmXw	Nonspecific lymphadenitis	MONDO:0002052	lymphadenitis	HP:0002840	lymphadenitis	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE				
3BQuAh68CP	Cachexia	HP:0004326	Cachexia	HP:0004326	cachexia	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
FjZPCyBZJw	Disseminated intravascular coagulation	HP:0005521	Disseminated intravascular coagulation	HP:0005521	Disseminated intravascular coagulation	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
BUkDoZFssZ	Senile cataract	MONDO:0004847	senile cataract	HP:0011141	age-related cataract	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE				
EUnMUCtWrk	Agranulocytosis	HP:0012234	Agranulocytosis	HP:0012234	Agranulocytosis	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
9QR4jdqsK6	Helicobacter pylori	EFO:1000961	Helicobacter pylori infectious disease	NCBITaxon:210	Helicobacter pylori	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
8CmRZiG55A	Reduction defects of lower limb	ORPHANET.ORDO:404574	Genetic syndrome with limb reduction defects	ORPHANET.ORDO:2130	Hemimelia	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
8YCGRG9dNY	Congenital hydrocephalus	MONDO:0016349	congenital hydrocephalus	ORPHANET.ORDO:2185	Congenital hydrocephalus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
AF3V3fHAEN	Immunodeficiency with predominantly antibody defects	ORPHANET.ORDO:331244	Other immunodeficiency syndrome with predominantly antibody defects	ORPHANET.ORDO:331244	Other immunodeficiency syndrome with predominantly antibody defects	Same	FALSE	FALSE	FALSE	FALSE	FALSE				
JHo3ogBi5g	Congenital malformations of oesophagus	MONDO:0019755	developmental defect during embryogenesis	ORPHANET.ORDO:88993	Esophageal malformation	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
BLb8fAC2Dd	Syndactyly	MONDO:0021002	syndactyly	ORPHANET.ORDO:90025	Syndactyly	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
JHgJiPqBuM	Other congenital malformations of intestine	MONDO:0019755	developmental defect during embryogenesis	ORPHANET.ORDO:97945	Intestinal malformation	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
EaEdKqUV7h	Other disorders of peripheral nervous system	EFO:0009387	peripheral nervous system disease	EFO:0009387	peripheral nervous system disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
4UJdLFZYr2	Spondylosis	EFO:0000706	spondyloarthropathy	EFO:0000706	spondyloarthropathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
KDRnTeY2qW	Other retinal disorders	EFO:0003839	retinopathy	EFO:0003839	retinopathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
8nJEtKnQtZ	Arterial embolism and thrombosis	HP:0004420	Arterial thrombosis	EFO:0004286	venous thromboembolism	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE				
8pt6TLjFb4	Juvenile osteochondrosis of hip and pelvis	MONDO:0007885	Legg-Calve-Perthes disease	ORPHANET.ORDO:2380	Legg-Calvé-Perthes disease	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
ABqnaxvA3J	Encephalitis myelitis and encephalomyelitis	EFO:0001423	encephalomyelitis	EFO:0007364	meningoencephalitis	More General	TRUE	FALSE	FALSE	FALSE	FALSE				
9zaqPc86LE	Atrial fibrillation and flutter	EFO:0000275	atrial fibrillation	EFO:0000275	atrial fibrillation	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
GhChPbFVn2	Dermatopolymyositis	EFO:0000398	dermatomyositis	EFO:0000398	dermatomyositis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
7Ev4dJfxah	Lack of food	EFO:0008572	malnutrition	EFO:0008572	malnutrition	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
9LDATkRwg5	Inflammatory diseases of prostate	EFO:0009903	inflammatory disease	EFO:0003830	prostatitis	More General	TRUE	FALSE	FALSE	FALSE	FALSE				
K6uYbtjhsv	Chronic renal failure	EFO:0003884	chronic kidney disease	EFO:0003884	chronic kidney disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
B5k38h7FvV	Postpolio syndrome	EFO:0007454	postpoliomyelitis syndrome	EFO:0007454	postpoliomyelitis syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
Gk5LK3uaKk	Atopic dermatitis	EFO:0000274	atopic eczema	EFO:0000274	atopic aczema	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
GfBZBWhBLy	Cardiomyopathy	EFO:0000318	cardiomyopathy	EFO:0000318	cardiomyopathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
6hhrPp7Don	other disorders of circulatory system	EFO:0000319	cardiovascular disease	EFO:0000319	cardiovascular disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
5QaVtRRFTf	Crohn s disease	EFO:0000384	Crohn's disease	EFO:0000384	Crohn's disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
76NgEcs4bh	Unspecified diabetes mellitus	EFO:0000400	diabetes mellitus	EFO:0000400	diabetes mellitus	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
6pzSN4yi8Y	Other specified diabetes mellitus	EFO:0000400	diabetes mellitus	EFO:0000400	diabetes mellitus	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
EAJojyj9u8	Epilepsy	EFO:0000474	epilepsy	EFO:0000474	epilepsy	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
9b5Zt2iNH6	Glaucoma	MONDO:0005041	glaucoma	EFO:0000516	glaucoma	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
6SHY3pYFAU	Irritable bowel syndrome	EFO:0000555	irritable bowel syndrome	EFO:0000555	irritable bowel syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
JGWtEJzXuW	Schizophrenia	MONDO:0005090	schizophrenia	EFO:0000692	schizophrenia	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
G3ktuqXkpE	Ulcerative colitis	EFO:0000729	ulcerative colitis	EFO:0000729	ulcerative colitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
7m2uvzzkaR	Viral infection of unspecified site	EFO:0000763	viral disease	EFO:0000763	viral disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
9zTLG4HwC8	Myositis	EFO:0000783	myositis	EFO:0000783	myositis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
CBFiyspRSH	Other cataract	MONDO:0005129	cataract	EFO:0001059	cataract	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
GaDnXXwcMS	Cytomegaloviral disease	EFO:0001062	cytomegalovirus infection	EFO:0001062	cytomegalovirus infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
K2NwETRGTk	Endometriosis	EFO:0001065	endometriosis	EFO:0001065	endometriosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
DohVtZ569M	Obesity	EFO:0001073	obesity	EFO:0001073	obesity	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
AM4e3PPyrm	Insulin dependent diabetes mellitus	MONDO:0005147	type 1 diabetes mellitus	EFO:0001359	type I diabetes mellitus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
4qSpQzDn5w	Non insulin dependent diabetes mellitus	MONDO:0005148	type 2 diabetes mellitus	EFO:0001360	type II diabetes mellitus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
GDn3R7dwZK	Parkinson s disease	MONDO:0005180	Parkinson disease	EFO:0002508	Parkinson's disease	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
GQuCtpQLLC	Juvenile arthritis	EFO:0002609	juvenile idiopathic arthritis	EFO:0002609	chronic childhood arthritis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
J2kvuyPrB7	Cellulitis	EFO:0003035	cellulitis	EFO:0003035	cellulitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
E3eGhgtHyW	Cushing s syndrome	EFO:0003099	Cushing syndrome	EFO:0003099	Cushing syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
AAQFesSzdM	Osteomyelitis	EFO:0003102	osteomyelitis	EFO:0003102	osteomyelitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
BKKMKCbGhE	Spina bifida	EFO:0003105	spina bifida	EFO:0003105	spina bifida	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
GC3HSzRSMF	Heart failure	EFO:0003144	heart failure	EFO:0003144	heart failure	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
KsXUwqQKRf	Vitamin D deficiency	EFO:0003762	vitamin D deficiency	EFO:0003762	vitamin D deficiency	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
FpS6pzJeKX	Dental caries	EFO:0003819	dental caries	EFO:0003819	dental caries	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
7w4jDaor92	Migraine	MONDO:0005277	migraine disorder	EFO:0003821	migraine disorder	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
3gB4tEgece	Pulmonary embolism	EFO:0003827	pulmonary embolism	EFO:0003827	pulmonary embolism	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3hb2ZxzdzQ	Other peripheral vascular diseases	EFO:0003875	peripheral vascular disease	EFO:0003875	peripheral vascular disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
5wmvgywDhz	Multiple sclerosis	MONDO:0005301	multiple sclerosis	EFO:0003885	multiple sclerosis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE				
9Eaq5qoESb	Acne	EFO:0003894	acne	EFO:0003894	acne	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3Ei3KqoB7a	Ankylosing spondylitis	EFO:0003898	ankylosing spondylitis	EFO:0003898	ankylosing spondylitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3nFN86B8S7	Angina pectoris	EFO:0003913	angina pectoris	EFO:0003913	angina pectoris	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
5pj22TxXx8	Atherosclerosis	EFO:0003914	atherosclerosis	EFO:0003914	atherosclerosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
8WEuiVeHjr	Gastro oesophageal reflux disease	EFO:0003948	gastroesophageal reflux disease	EFO:0003948	gastroesophageal reflux disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
pvZMpP2pdW	Sunburn	EFO:0003958	sunburn	EFO:0003958	sunburn	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
YFTetth7re	Cleft lip	EFO:0003959	cleft lip	EFO:0003959	cleft lip	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
KEXwXgUDDa	Androgenic alopecia	EFO:0004191	androgenetic alopecia	EFO:0004191	androgenic alopecia	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
CJoo4XJB85	Alopecia areata	EFO:0004192	alopecia areata	EFO:0004192	alopecia areata	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
6uX5KiQGng	Vitiligo	EFO:0004208	Vitiligo	EFO:0004208	vitiligo	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
AnhADk346s	Hypospadias	EFO:0004209	hypospadias	EFO:0004209	hypospadias	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
C2DEiSHQsN	Otosclerosis	EFO:0004213	otosclerosis	EFO:0004213	otosclerosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
BBU2yw4UfD	Conduct disorders	EFO:0004216	conduct disorder	EFO:0004216	conduct disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
FFdbN9AmEU	Male infertility	EFO:0004248	male infertility	EFO:0004248	male infertility	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
GsG3ekn4ec	Meningococcal infection	EFO:0004249	meningococcal infection	EFO:0004249	meningococcal infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
7t7KdjrccU	Calculus of kidney and ureter	EFO:0004253	nephrolithiasis	EFO:0004253	nephrolithiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3gcrbUzga2	Nephrotic syndrome	EFO:0004255	nephrotic syndrome	EFO:0004255	nephrotic syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
JoQzQER4zB	Osteonecrosis	EFO:0004259	osteonecrosis	EFO:0004259	osteonecrosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
KqvKZvMHxQ	Paget s disease of bone	EFO:0004261	osteitis deformans	EFO:0004261	osteitis deformans	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3sf3pjSMKS	Other anaemias	HP:0001915	Aplastic anemia	EFO:0004272	anemia	More Specific	FALSE	FALSE	TRUE	FALSE	FALSE				
BvTszj52oH	Gout	EFO:0004274	gout	EFO:0004274	gout	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
JAodUFpq6o	Diabetes mellitus in pregnancy	EFO:0004593	gestational diabetes	EFO:0004593	gestational diabetes	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
gpjjV9Z65V	Duodenal ulcer	EFO:0004607	duodenal ulcer	EFO:0004607	duodenal ulcer	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
8snzyvtANC	Cholelithiasis	EFO:0004799	cholelithiasis	EFO:0004799	cholelithiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
6fZaUiaQWY	Leishmaniasis	EFO:0005044	Leishmaniasis	EFO:0005044	Leishmaniasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
32Hi8PuqKn	Eating disorders	EFO:0005203	eating disorder	EFO:0005203	eating disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
86myjrcQdv	Hypotension	EFO:0005251	hypotension	EFO:0005251	hypotension	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
4vXChAcgdn	Unspecified contact dermatitis	EFO:0005319	contact dermatitis	EFO:0005319	contact dermatitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
8kUmmNMUCc	Schizoaffective disorders	EFO:0005411	schizoaffective disorder	EFO:0005411	schizoaffective disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
CExX9sVCwy	Urticaria	EFO:0005531	urticaria	EFO:0005531	urticaria	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
4t8NF65Dkk	Seborrhoeic keratosis	EFO:0005584	seborrheic keratosis	EFO:0005584	seborrheic keratosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
ChCw7jQLMG	Shigellosis	EFO:0005585	shigellosis	EFO:0005585	shingellosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
J2QKE2Mc3K	Other vitamin deficiencies	EFO:0003762	vitamin D deficiency	EFO:0005878	vitamin deficiency	More Specific	FALSE	FALSE	TRUE	FALSE	FALSE				
7krjysUiyf	Zoster	EFO:0006510	Herpes Zoster	EFO:0006510	Herpes Zoster	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
EPSdgF3Ye2	Pyoderma gangrenosum	EFO:0006835	pyoderma gangrenosum	EFO:0006835	pyoderma gangrenosum	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
6tWcTFUoe9	Decubitus ulcer	EFO:0007067	decubitus ulcer	EFO:0007067	decubitus ulcer	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
JeVgcRahp2	Actinomycosis	EFO:0007128	actinomycosis	EFO:0007128	actinomycosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
76n9zRo94o	Amoebiasis	EFO:0007144	amebiasis	EFO:0007144	amebiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3QdghnHWus	Unspecified appendicitis	EFO:0007149	appendicitis	EFO:0007149	appendicitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
BgQXhLhUei	Ascariasis	EFO:0007154	ascariasis	EFO:0007154	ascariasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
6eikuTsuQX	Aspergillosis	EFO:0007157	aspergillosis	EFO:0007157	aspergillosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3xgJc3h84j	Varicella	EFO:0007204	chickenpox	EFO:0007204	chickenpox	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
4KQ7ncTXW6	Cryptococcosis	EFO:0007229	cryptococcosis	EFO:0007229	cryptococcosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
Kgkpn9wpPR	Echinococcosis	EFO:0007245	echinococcosis	EFO:0007245	echinococcosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
9yj2pvDe6V	Enterobiasis	EFO:0007254	enterobiasis	EFO:0007254	enterobiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
Ec85EUoJMs	Granuloma inguinale	EFO:0007291	granuloma inguinale	EFO:0007291	granuloma inguinale	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
