IRI	Label	Direct	Inherited
http://purl.obolibrary.org/obo/BTO_0000426	erythroleukemia cell	0	0
http://purl.obolibrary.org/obo/BTO_0000488	lower epidermis	0	0
http://purl.obolibrary.org/obo/BTO_0000515	haustorium	0	0
http://purl.obolibrary.org/obo/BTO_0000551	lung cancer cell	0	0
http://purl.obolibrary.org/obo/BTO_0000583	bone marrow cancer cell	0	0
http://purl.obolibrary.org/obo/BTO_0000664	obsolete_K-562 cell	0	0
http://purl.obolibrary.org/obo/BTO_0000690	brain cancer cell line	0	0
http://purl.obolibrary.org/obo/BTO_0000740	myeloid leukemia cell line	0	0
http://purl.obolibrary.org/obo/BTO_0000797	colonic cancer cell line	0	0
http://purl.obolibrary.org/obo/BTO_0000849	melanoma cell line	0	0
http://purl.obolibrary.org/obo/BTO_0001030	J774.2 cell	0	0
http://purl.obolibrary.org/obo/BTO_0001033	prostate cancer cell line	0	0
http://purl.obolibrary.org/obo/BTO_0001038	peritrophic membrane	0	0
http://purl.obolibrary.org/obo/BTO_0001093	WEHI-231 cell	0	0
http://purl.obolibrary.org/obo/BTO_0001130	prostate gland cancer cell	0	0
http://purl.obolibrary.org/obo/BTO_0001205	RT4-D6P2T cell	0	0
http://purl.obolibrary.org/obo/BTO_0001383	alveolar bone	0	0
http://purl.obolibrary.org/obo/BTO_0001384	tissue culture	0	0
http://purl.obolibrary.org/obo/BTO_0001436	mycelium	0	0
http://purl.obolibrary.org/obo/BTO_0001516	BA/F3 cell	0	0
http://purl.obolibrary.org/obo/BTO_0001518	B-lymphoma cell line	0	0
http://purl.obolibrary.org/obo/BTO_0001615	colorectal cancer cell	0	0
http://purl.obolibrary.org/obo/BTO_0001616	colorectal cancer cell line	0	0
http://purl.obolibrary.org/obo/BTO_0001629	obsolete_left ventricle	0	0
http://purl.obolibrary.org/obo/BTO_0001630	obsolete_right ventricle	0	0
http://purl.obolibrary.org/obo/BTO_0001678	obsolete_Th1-cell	0	0
http://purl.obolibrary.org/obo/BTO_0001679	obsolete_Th2-cell	0	0
http://purl.obolibrary.org/obo/BTO_0001708	coelomic fluid	0	0
http://purl.obolibrary.org/obo/BTO_0001795	anterior silk gland	0	0
http://purl.obolibrary.org/obo/BTO_0001899	stationary phase culture	0	0
http://purl.obolibrary.org/obo/BTO_0001900	growth phase culture	0	0
http://purl.obolibrary.org/obo/BTO_0001903	logarithmic phase culture	0	0
http://purl.obolibrary.org/obo/BTO_0001948	JURKAT E-6.1 cell	0	0
http://purl.obolibrary.org/obo/BTO_0001967	cervical cancer cell line	0	0
http://purl.obolibrary.org/obo/BTO_0002178	HMEpC cell	0	0
http://purl.obolibrary.org/obo/BTO_0002179	184A1N4 cell	0	0
http://purl.obolibrary.org/obo/BTO_0002180	184B5 cell	0	0
http://purl.obolibrary.org/obo/BTO_0002217	culture supernatant	0	0
http://purl.obolibrary.org/obo/BTO_0002278	macrophage cell line	0	0
http://purl.obolibrary.org/obo/BTO_0002279	J-774 cell	0	0
http://purl.obolibrary.org/obo/BTO_0002488	uterine leiomyosarcoma cell line	0	0
http://purl.obolibrary.org/obo/BTO_0002599	RBA-2 cell	0	0
http://purl.obolibrary.org/obo/BTO_0002690	biofilm	0	0
http://purl.obolibrary.org/obo/BTO_0002842	cholangioma cell	0	0
http://purl.obolibrary.org/obo/BTO_0002844	breast invasive ductal carcinoma cell	0	0
http://purl.obolibrary.org/obo/BTO_0003147	obsolete_juvenile leaf	0	0
http://purl.obolibrary.org/obo/BTO_0003250	colonic epithelium cell line	0	0
http://purl.obolibrary.org/obo/BTO_0003264	HL-1 cell	0	0
http://purl.obolibrary.org/obo/BTO_0003699	C1R cell	0	0
http://purl.obolibrary.org/obo/BTO_0004059	CCD-18Co cell	0	0
http://purl.obolibrary.org/obo/BTO_0004263	COM-3 cell	0	0
http://purl.obolibrary.org/obo/BTO_0004264	INC-2 cell	0	0
http://purl.obolibrary.org/obo/BTO_0004298	corneal epithelial cell	0	0
http://purl.obolibrary.org/obo/BTO_0004578	vascular smooth muscle cell	0	0
http://purl.obolibrary.org/obo/BTO_0004687	orbit	0	0
http://purl.obolibrary.org/obo/BTO_0005136	ES-E14 cell	0	0
http://purl.obolibrary.org/obo/BTO_0005339	Ma-Mel-11 cell	0	0
http://purl.obolibrary.org/obo/CHEBI_100241	ciprofloxacin	0	0
http://purl.obolibrary.org/obo/CHEBI_100246	norfloxacin	0	0
http://purl.obolibrary.org/obo/CHEBI_10033	warfarin	0	0
http://purl.obolibrary.org/obo/CHEBI_101278	diltiazem	0	0
http://purl.obolibrary.org/obo/CHEBI_106304	sphingomyelin d18:1/16:0	0	0
http://purl.obolibrary.org/obo/CHEBI_106363	sphingomyelin d18:1/16:1	0	0
http://purl.obolibrary.org/obo/CHEBI_107726	sphingomyelin d18:1/24:1	0	0
http://purl.obolibrary.org/obo/CHEBI_11009	(R)-3-phenyllactate	0	0
http://purl.obolibrary.org/obo/CHEBI_11424	2,3-dihydroxy-3-methylbutanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_114785	erlotinib	0	0
http://purl.obolibrary.org/obo/CHEBI_1148	2-hydroxybutyric acid	0	0
http://purl.obolibrary.org/obo/CHEBI_11596	2-hydroxyglutarate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_116314	oleamide	0	0
http://purl.obolibrary.org/obo/CHEBI_11805	3-hydroxyisobutyrate	0	0
http://purl.obolibrary.org/obo/CHEBI_11851	3-methyl-2-oxobutanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_11892	N-carbamoyl-beta-alaninate	0	0
http://purl.obolibrary.org/obo/CHEBI_11951	4-acetamidobutanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_1224	2-nitrofluorene	0	0
http://purl.obolibrary.org/obo/CHEBI_124991	cefalotin	0	0
http://purl.obolibrary.org/obo/CHEBI_12777	vitamin A	0	0
http://purl.obolibrary.org/obo/CHEBI_131444	guanidinoacetate	0	0
http://purl.obolibrary.org/obo/CHEBI_132002	cholesteryl octadecadienoate	0	0
http://purl.obolibrary.org/obo/CHEBI_132004	cholesteryl octadecatrienoate	0	0
http://purl.obolibrary.org/obo/CHEBI_132006	cholesteryl icosatetraenoate	0	0
http://purl.obolibrary.org/obo/CHEBI_132007	cholesteryl icosapentaenoate	0	0
http://purl.obolibrary.org/obo/CHEBI_132030	glycoursodeoxycholate	0	0
http://purl.obolibrary.org/obo/CHEBI_132034	triacylglycerol 56:2	0	0
http://purl.obolibrary.org/obo/CHEBI_132479	N-stearoyltaurine	0	0
http://purl.obolibrary.org/obo/CHEBI_132733	triacylglycerol 58:11	0	0
http://purl.obolibrary.org/obo/CHEBI_132917	2-isopropylmalate	0	0
http://purl.obolibrary.org/obo/CHEBI_132934	3-hydroxysebacate	0	0
http://purl.obolibrary.org/obo/CHEBI_132938	ethylmalonate	0	0
http://purl.obolibrary.org/obo/CHEBI_132940	1,3,7-trimethylurate	0	0
http://purl.obolibrary.org/obo/CHEBI_132948	pyridoxate	0	0
http://purl.obolibrary.org/obo/CHEBI_132951	maleate	0	0
http://purl.obolibrary.org/obo/CHEBI_132961	methylsuccinate	0	0
http://purl.obolibrary.org/obo/CHEBI_133119	5alpha-pregnane-3beta,20alpha-diol disulfate	0	0
http://purl.obolibrary.org/obo/CHEBI_133511	3-hydroxyoctanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_133513	3-methylglutaconate anion	0	0
http://purl.obolibrary.org/obo/CHEBI_133514	2-hydroxyoctanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_133607	m-hydroxyhippurate	0	0
http://purl.obolibrary.org/obo/CHEBI_133613	p-hydroxyhippurate	0	0
http://purl.obolibrary.org/obo/CHEBI_133628	undecanedioic acid anion	0	0
http://purl.obolibrary.org/obo/CHEBI_133686	5-bromotryptophan	0	0
http://purl.obolibrary.org/obo/CHEBI_133725	1-methylurate anion	0	0
http://purl.obolibrary.org/obo/CHEBI_133726	1,3-dimethylurate anion	0	0
http://purl.obolibrary.org/obo/CHEBI_133727	1,7-dimethylurate anion	0	0
http://purl.obolibrary.org/obo/CHEBI_133728	3,7-dimethylurate anion	0	0
http://purl.obolibrary.org/obo/CHEBI_133738	2-hydroxyhexanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_133792	erythronate	0	0
http://purl.obolibrary.org/obo/CHEBI_134112	triacylglycerol 60:12	0	0
http://purl.obolibrary.org/obo/CHEBI_135752	tafenoquine	0	0
http://purl.obolibrary.org/obo/CHEBI_135983	teriparatide	0	0
http://purl.obolibrary.org/obo/CHEBI_1367	3,3',4,4'-tetrachlorobiphenyl	0	0
http://purl.obolibrary.org/obo/CHEBI_13705	acetoacetate	0	0
http://purl.obolibrary.org/obo/CHEBI_137137	(5Z,7E)-(3S)-26,26,26-trifluoro-27-nor-9,10-seco-5,7,10(19)-cholestatriene-3,25-diol	0	0
http://purl.obolibrary.org/obo/CHEBI_137149	1-(8-[3]-ladderane-octanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol	0	0
http://purl.obolibrary.org/obo/CHEBI_137552	CE(16:1)	0	0
http://purl.obolibrary.org/obo/CHEBI_137682	methylhistidine	0	0
http://purl.obolibrary.org/obo/CHEBI_138331	cholesteryl icosatrienoate	0	0
http://purl.obolibrary.org/obo/CHEBI_138346	triacylglycerol 54:9	0	0
http://purl.obolibrary.org/obo/CHEBI_141438	His-Phe	0	0
http://purl.obolibrary.org/obo/CHEBI_142420	2-aminooctanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_143615	sphingomyelin 14:0	0	0
http://purl.obolibrary.org/obo/CHEBI_143616	sphingomyelin 16:1	0	0
http://purl.obolibrary.org/obo/CHEBI_143617	sphingomyelin 18:0	0	0
http://purl.obolibrary.org/obo/CHEBI_143618	sphingomyelin 18:1	0	0
http://purl.obolibrary.org/obo/CHEBI_143619	triacylglycerol 58:12	0	0
http://purl.obolibrary.org/obo/CHEBI_145072	campesterol 3-beta-D-glucoside	0	0
http://purl.obolibrary.org/obo/CHEBI_146162	palmitoleamide	0	0
http://purl.obolibrary.org/obo/CHEBI_15075	selenate	0	0
http://purl.obolibrary.org/obo/CHEBI_15193	tartrate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_15243	threonate	0	0
http://purl.obolibrary.org/obo/CHEBI_15318	xanthine	0	0
http://purl.obolibrary.org/obo/CHEBI_15343	acetaldehyde	0	0
http://purl.obolibrary.org/obo/CHEBI_15347	acetone	0	0
http://purl.obolibrary.org/obo/CHEBI_15354	choline	0	0
http://purl.obolibrary.org/obo/CHEBI_15361	pyruvate	0	0
http://purl.obolibrary.org/obo/CHEBI_15365	acetylsalicylic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_15366	acetic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_15367	all-trans-retinoic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_153671	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-Acetamido-5-[(2S,3S,4R,5R,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxy-6-[[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide	0	0
http://purl.obolibrary.org/obo/CHEBI_15368	acrolein	0	0
http://purl.obolibrary.org/obo/CHEBI_15372	5,6,7,8-tetrahydrobiopterin	0	0
http://purl.obolibrary.org/obo/CHEBI_15377	water	0	0
http://purl.obolibrary.org/obo/CHEBI_15379	dioxygen	0	0
http://purl.obolibrary.org/obo/CHEBI_15414	S-adenosyl-L-methionine	0	0
http://purl.obolibrary.org/obo/CHEBI_15422	ATP	0	0
http://purl.obolibrary.org/obo/CHEBI_15428	glycine	0	0
http://purl.obolibrary.org/obo/CHEBI_15551	prostaglandin E2	0	0
http://purl.obolibrary.org/obo/CHEBI_15559	15-oxo-ETE	0	0
http://purl.obolibrary.org/obo/CHEBI_15560	(15Z)-12-oxophyto-10,15-dienoic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_15588	(R)-malate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_15589	(S)-malate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_15595	malate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_15598	2-methylcitrate(3-)	0	0
http://purl.obolibrary.org/obo/CHEBI_15611	sarcosine	0	0
http://purl.obolibrary.org/obo/CHEBI_15676	allantoin	0	0
http://purl.obolibrary.org/obo/CHEBI_15682	(N(omega)-L-arginino)succinic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_15724	trimethylamine N-oxide	0	0
http://purl.obolibrary.org/obo/CHEBI_15738	staurosporine	0	0
http://purl.obolibrary.org/obo/CHEBI_15756	hexadecanoic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_15767	dichloromethane	0	0
http://purl.obolibrary.org/obo/CHEBI_15793	3-hydroxyanthranilic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_15843	arachidonic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_15854	quinine	0	0
http://purl.obolibrary.org/obo/CHEBI_15866	2-deoxy-D-glucose	0	0
http://purl.obolibrary.org/obo/CHEBI_15882	phenol	0	0
http://purl.obolibrary.org/obo/CHEBI_15889	sterol	0	0
http://purl.obolibrary.org/obo/CHEBI_15891	taurine	0	0
http://purl.obolibrary.org/obo/CHEBI_15901	5,6-dihydrouracil	0	0
http://purl.obolibrary.org/obo/CHEBI_15929	(-)-methyl jasmonate	0	0
http://purl.obolibrary.org/obo/CHEBI_15930	atrazine	0	0
http://purl.obolibrary.org/obo/CHEBI_15940	nicotinic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_15956	biotin	0	0
http://purl.obolibrary.org/obo/CHEBI_15963	ribitol	0	0
http://purl.obolibrary.org/obo/CHEBI_15978	sn-glycerol 3-phosphate	0	0
http://purl.obolibrary.org/obo/CHEBI_16010	5-oxoproline	0	0
http://purl.obolibrary.org/obo/CHEBI_16020	1-methyladenosine	0	0
http://purl.obolibrary.org/obo/CHEBI_16027	adenosine 5'-monophosphate	0	0
http://purl.obolibrary.org/obo/CHEBI_16038	phosphatidylethanolamine	0	0
http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol	0	0
http://purl.obolibrary.org/obo/CHEBI_16150	benzoate	0	0
http://purl.obolibrary.org/obo/CHEBI_16189	sulfate	0	0
http://purl.obolibrary.org/obo/CHEBI_16196	oleic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16199	urea	0	0
http://purl.obolibrary.org/obo/CHEBI_16235	guanine	0	0
http://purl.obolibrary.org/obo/CHEBI_16236	ethanol	0	0
http://purl.obolibrary.org/obo/CHEBI_16240	hydrogen peroxide	0	0
http://purl.obolibrary.org/obo/CHEBI_16243	quercetin	0	0
http://purl.obolibrary.org/obo/CHEBI_16247	phospholipid	0	0
http://purl.obolibrary.org/obo/CHEBI_16261	chitosan	0	0
http://purl.obolibrary.org/obo/CHEBI_16330	17beta-hydroxy-5alpha-androstan-3-one	0	0
http://purl.obolibrary.org/obo/CHEBI_16336	hyaluronic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16345	3-sulfino-L-alanine	0	0
http://purl.obolibrary.org/obo/CHEBI_16348	3-nitropropanoic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16359	cholic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16383	cis-aconitate(3-)	0	0
http://purl.obolibrary.org/obo/CHEBI_16393	sphingosine	0	0
http://purl.obolibrary.org/obo/CHEBI_16411	indole-3-acetic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16412	lipopolysaccharide	0	0
http://purl.obolibrary.org/obo/CHEBI_16437	N-acetyl-L-histidine	0	0
http://purl.obolibrary.org/obo/CHEBI_16449	alanine	0	0
http://purl.obolibrary.org/obo/CHEBI_16454	pantothenate	0	0
http://purl.obolibrary.org/obo/CHEBI_16467	L-arginine	0	0
http://purl.obolibrary.org/obo/CHEBI_16469	17beta-estradiol	0	0
http://purl.obolibrary.org/obo/CHEBI_16482	naphthalene	0	0
http://purl.obolibrary.org/obo/CHEBI_16522	trans-zeatin	0	0
http://purl.obolibrary.org/obo/CHEBI_16523	D-serine	0	0
http://purl.obolibrary.org/obo/CHEBI_16526	carbon dioxide	0	0
http://purl.obolibrary.org/obo/CHEBI_165498	1-O-alpha-D-Glucopyranosyl-1,2-nonadecandiol	0	0
http://purl.obolibrary.org/obo/CHEBI_16552	N-formyl-L-methionine	0	0
http://purl.obolibrary.org/obo/CHEBI_165587	Margaroyl-EA	0	0
http://purl.obolibrary.org/obo/CHEBI_16566	sphinganine	0	0
http://purl.obolibrary.org/obo/CHEBI_16587	20-hydroxyecdysone	0	0
http://purl.obolibrary.org/obo/CHEBI_16602	trichloroethene	0	0
http://purl.obolibrary.org/obo/CHEBI_16605	allyl alcohol	0	0
http://purl.obolibrary.org/obo/CHEBI_16610	spermidine	0	0
http://purl.obolibrary.org/obo/CHEBI_16632	vanillate	0	0
http://purl.obolibrary.org/obo/CHEBI_16646	carbohydrate	0	0
http://purl.obolibrary.org/obo/CHEBI_166495	4-hydroxy-3-methylacetophenone	0	0
http://purl.obolibrary.org/obo/CHEBI_16668	hypotaurine	0	0
http://purl.obolibrary.org/obo/CHEBI_16675	quinolinic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16680	S-adenosyl-L-homocysteine	0	0
http://purl.obolibrary.org/obo/CHEBI_16682	N-acetyl-beta-alanine	0	0
http://purl.obolibrary.org/obo/CHEBI_16688	ecdysone	0	0
http://purl.obolibrary.org/obo/CHEBI_16704	uridine	0	0
http://purl.obolibrary.org/obo/CHEBI_16708	adenine	0	0
http://purl.obolibrary.org/obo/CHEBI_16716	benzene	0	0
http://purl.obolibrary.org/obo/CHEBI_16731	(E)-cinnamaldehyde	0	0
http://purl.obolibrary.org/obo/CHEBI_16734	N-acetyl-D-tryptophan	0	0
http://purl.obolibrary.org/obo/CHEBI_16737	creatinine	0	0
http://purl.obolibrary.org/obo/CHEBI_16738	2,4-dichlorophenol	0	0
http://purl.obolibrary.org/obo/CHEBI_16742	orotic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16763	2-oxobutanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_167876	Hydroxyphenylpyruvic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16794	scopolamine	0	0
http://purl.obolibrary.org/obo/CHEBI_16797	1-methylnicotinamide	0	0
http://purl.obolibrary.org/obo/CHEBI_16810	2-oxoglutarate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_16811	methionine	0	0
http://purl.obolibrary.org/obo/CHEBI_16814	dehydroepiandrosterone sulfate	0	0
http://purl.obolibrary.org/obo/CHEBI_16815	enol-phenylpyruvate	0	0
http://purl.obolibrary.org/obo/CHEBI_16831	3-hydroxy-3-methylglutaric acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16842	formaldehyde	0	0
http://purl.obolibrary.org/obo/CHEBI_16856	glutathione	0	0
http://purl.obolibrary.org/obo/CHEBI_16865	gamma-aminobutyric acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16870	choline alfoscerate	0	0
http://purl.obolibrary.org/obo/CHEBI_16891	glyoxylic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16893	sphinganine 1-phosphate	0	0
http://purl.obolibrary.org/obo/CHEBI_16899	D-mannitol	0	0
http://purl.obolibrary.org/obo/CHEBI_16914	salicylic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16919	creatine	0	0
http://purl.obolibrary.org/obo/CHEBI_16947	citrate(3-)	0	0
http://purl.obolibrary.org/obo/CHEBI_16953	N-acetyl-L-aspartate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_169570	N-(3E-hexadecenoyl)-deoxysphing-4-enine-1-sulfonate	0	0
http://purl.obolibrary.org/obo/CHEBI_16958	beta-alanine	0	0
http://purl.obolibrary.org/obo/CHEBI_16962	cortisone	0	0
http://purl.obolibrary.org/obo/CHEBI_16979	beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl glycopeptide	0	0
http://purl.obolibrary.org/obo/CHEBI_16990	bilirubin IXalpha	0	0
http://purl.obolibrary.org/obo/CHEBI_16991	deoxyribonucleic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_16995	oxalic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_17002	cholesteryl ester	0	0
http://purl.obolibrary.org/obo/CHEBI_17026	progesterone	0	0
http://purl.obolibrary.org/obo/CHEBI_17029	chitin	0	0
http://purl.obolibrary.org/obo/CHEBI_17033	biliverdin	0	0
http://purl.obolibrary.org/obo/CHEBI_17050	3-phosphoglyceric acid	0	0
http://purl.obolibrary.org/obo/CHEBI_17084	2-hydroxyglutaric acid	0	0
http://purl.obolibrary.org/obo/CHEBI_17089	glycoprotein	0	0
http://purl.obolibrary.org/obo/CHEBI_17113	erythritol	0	0
http://purl.obolibrary.org/obo/CHEBI_1712	3alpha-hydroxy-5beta-pregnan-20-one	0	0
http://purl.obolibrary.org/obo/CHEBI_17120	hexanoate	0	0
http://purl.obolibrary.org/obo/CHEBI_17126	carnitine	0	0
http://purl.obolibrary.org/obo/CHEBI_17151	xylitol	0	0
http://purl.obolibrary.org/obo/CHEBI_17154	nicotinamide	0	0
http://purl.obolibrary.org/obo/CHEBI_17158	methylglyoxal	0	0
http://purl.obolibrary.org/obo/CHEBI_17160	17alpha-estradiol	0	0
http://purl.obolibrary.org/obo/CHEBI_17202	IMP	0	0
http://purl.obolibrary.org/obo/CHEBI_17203	L-proline	0	0
http://purl.obolibrary.org/obo/CHEBI_17221	beta-myrcene	0	0
http://purl.obolibrary.org/obo/CHEBI_17230	homocysteine	0	0
http://purl.obolibrary.org/obo/CHEBI_17234	glucose	0	0
http://purl.obolibrary.org/obo/CHEBI_17243	mono(2-ethylhexyl) phthalate	0	0
http://purl.obolibrary.org/obo/CHEBI_17245	carbon monoxide	0	0
http://purl.obolibrary.org/obo/CHEBI_17252	17alpha-hydroxyprogesterone	0	0
http://purl.obolibrary.org/obo/CHEBI_17268	myo-inositol	0	0
http://purl.obolibrary.org/obo/CHEBI_17282	3-(indol-3-yl)lactate	0	0
http://purl.obolibrary.org/obo/CHEBI_17287	N-phosphocreatine	0	0
http://purl.obolibrary.org/obo/CHEBI_17303	morphine	0	0
http://purl.obolibrary.org/obo/CHEBI_17306	maltose	0	0
http://purl.obolibrary.org/obo/CHEBI_17325	3-hydroxy-3-methylglutarate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_17327	phytol	0	0
http://purl.obolibrary.org/obo/CHEBI_17347	testosterone	0	0
http://purl.obolibrary.org/obo/CHEBI_17351	linoleic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_17356	2-acetamidofluorene	0	0
http://purl.obolibrary.org/obo/CHEBI_17362	quinoline	0	0
http://purl.obolibrary.org/obo/CHEBI_17368	hypoxanthine	0	0
http://purl.obolibrary.org/obo/CHEBI_17376	cystine	0	0
http://purl.obolibrary.org/obo/CHEBI_17388	(S)-1-pyrroline-5-carboxylate	0	0
http://purl.obolibrary.org/obo/CHEBI_17394	N(5)-ethyl-L-glutamine	0	0
http://purl.obolibrary.org/obo/CHEBI_17443	L-homocitrulline	0	0
http://purl.obolibrary.org/obo/CHEBI_17445	3-hydroxyphenylacetic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_174593	Glutaconylcarnitine	0	0
http://purl.obolibrary.org/obo/CHEBI_174623	Gamma-glutamyl-Lysine	0	0
http://purl.obolibrary.org/obo/CHEBI_17489	3',5'-cyclic AMP	0	0
http://purl.obolibrary.org/obo/CHEBI_175077	Tryptophyl-Asparagine	0	0
http://purl.obolibrary.org/obo/CHEBI_175127	S-6-Hydroxywarfarin	0	0
http://purl.obolibrary.org/obo/CHEBI_175131	R-6-Hydroxywarfarin	0	0
http://purl.obolibrary.org/obo/CHEBI_17519	N-methyl-L-alanine	0	0
http://purl.obolibrary.org/obo/CHEBI_17533	N-acetyl-L-glutamic acid	0	0
http://purl.obolibrary.org/obo/CHEBI_17561	L-cysteine	0	0
http://purl.obolibrary.org/obo/CHEBI_17568	uracil	0	0
http://purl.obolibrary.org/obo/CHEBI_17596	inosine	0	0
http://purl.obolibrary.org/obo/CHEBI_17632	nitrate	0	0
http://purl.obolibrary.org/obo/CHEBI_17636	sphingomyelin d18:1	0	0
http://purl.obolibrary.org/obo/CHEBI_17649	hydroxymalonate(2-)	0	0
http://purl.obolibrary.org/obo/CHEBI_17650	cortisol	0	0
http://purl.obolibrary.org/obo/CHEBI_176648	Valine-d8	0	0
http://purl.obolibrary.org/obo/CHEBI_176650	Phenylalanine-d8	0	0
http://purl.obolibrary.org/obo/CHEBI_17698	chloramphenicol	0	0
http://purl.obolibrary.org/obo/CHEBI_177104	(4E,8E,10E-d18:3)sphingosine	0	0
http://purl.obolibrary.org/obo/CHEBI_17724	N,N-dimethylglycine	0	0
