Source Term ID	Source Term	t2t.Mapping	t2t.MappingLabel	Benchmark.Mapping	Benchmark.MappingLabel	Classification	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess			Total	%	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess	
htqFbfZFsD	Arterial embolism and thrombosis	HP:0004420	Arterial thrombosis	EFO:0004286	venous thromboembolism	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
nzVQL2irzU	Juvenile osteochondrosis of hip and pelvis	MONDO:0007885	Legg-Calve-Perthes disease	ORDO:2380	Legg-Calvé-Perthes disease	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
FFFQGvXaRr	Encephalitis myelitis and encephalomyelitis	EFO:0001423	encephalomyelitis	EFO:0007364	meningoencephalitis	More General	TRUE	FALSE	FALSE	FALSE	FALSE										
tSCMcaDpy2	Atrial fibrillation and flutter	EFO:0000275	atrial fibrillation	EFO:0000275	atrial fibrillation	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
CQyxDJERpL	Dermatopolymyositis	EFO:0000398	dermatomyositis	EFO:0000398	dermatomyositis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
8uYKjDSNwq	Lack of food	EFO:0008572	malnutrition	EFO:0008572	malnutrition	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
pVKwFBtKfV	Inflammatory diseases of prostate	EFO:0009903	inflammatory disease	EFO:0003830	prostatitis	More General	TRUE	FALSE	FALSE	FALSE	FALSE										
jpukekFHXj	Chronic renal failure	EFO:0009909	stage 5 chronic kidney disease	EFO:0003884	chronic kidney disease	More Specific	TRUE	FALSE	FALSE	FALSE	FALSE										
EAAJkKQBbH	Postpolio syndrome	EFO:0007454	postpoliomyelitis syndrome	EFO:0007454	postpoliomyelitis syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
BLzirCr3UB	Atopic dermatitis	EFO:0000274	atopic eczema	EFO:0000274	atopic aczema	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
npmWitNKR7	Cardiomyopathy	EFO:0000318	cardiomyopathy	EFO:0000318	cardiomyopathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
3eDrd427ay	other disorders of circulatory system	EFO:0000319	cardiovascular disease	EFO:0000319	cardiovascular disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
56RVGCi9cN	Crohn s disease	EFO:0000384	Crohn's disease	EFO:0000384	Crohn's disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
WThPUCuFoF	Unspecified diabetes mellitus	EFO:0000400	diabetes mellitus	EFO:0000400	diabetes mellitus	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
4PvCoSt8bX	Other specified diabetes mellitus	EFO:0000400	diabetes mellitus	EFO:0000400	diabetes mellitus	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
bTKEhxsdva	Epilepsy	EFO:0000474	epilepsy	EFO:0000474	epilepsy	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
XYMVJwg6zy	Glaucoma	MONDO:0005041	glaucoma	EFO:0000516	glaucoma	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
55V9A38Jo8	Irritable bowel syndrome	EFO:0000555	irritable bowel syndrome	EFO:0000555	irritable bowel syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Chkg3fErjs	Schizophrenia	MONDO:0005090	schizophrenia	EFO:0000692	schizophrenia	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
zhBZoXSgDN	Ulcerative colitis	EFO:0000729	ulcerative colitis	EFO:0000729	ulcerative colitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
VRCDw7eqxP	Viral infection of unspecified site	EFO:0000763	viral disease	EFO:0000763	viral disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
rnbbkbYdkb	Myositis	EFO:0000783	myositis	EFO:0000783	myositis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
LawGtEeQHU	Other cataract	MONDO:0005129	cataract	EFO:0001059	cataract	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
tZpeAt8gUw	Cytomegaloviral disease	EFO:0001062	cytomegalovirus infection	EFO:0001062	cytomegalovirus infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
27RPsfoqGp	Endometriosis	EFO:0001065	endometriosis	EFO:0001065	endometriosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
iYBu5K9zCw	Obesity	EFO:0001073	obesity	EFO:0001073	obesity	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
rpsjf9xitQ	Insulin dependent diabetes mellitus	MONDO:0005147	type 1 diabetes mellitus	EFO:0001359	type I diabetes mellitus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
yxydiumNye	Non insulin dependent diabetes mellitus	MONDO:0005148	type 2 diabetes mellitus	EFO:0001360	type II diabetes mellitus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
goBhA3L7ki	Parkinson s disease	MONDO:0005180	Parkinson disease	EFO:0002508	Parkinson's disease	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
P6MmuVxj9V	Juvenile arthritis	EFO:0002609	juvenile idiopathic arthritis	EFO:0002609	chronic childhood arthritis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
V6vKgKCWTR	Cellulitis	EFO:0003035	cellulitis	EFO:0003035	cellulitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
GbcnFBYdjX	Cushing s syndrome	EFO:0003099	Cushing syndrome	EFO:0003099	Cushing syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
R5km9GxBHC	Osteomyelitis	EFO:0003102	osteomyelitis	EFO:0003102	osteomyelitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
qy3u4hhDoW	Spina bifida	EFO:0003105	spina bifida	EFO:0003105	spina bifida	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
zdLf7sC7QG	Heart failure	EFO:0003144	heart failure	EFO:0003144	heart failure	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
b89zKgf5zy	Vitamin D deficiency	EFO:0003762	vitamin D deficiency	EFO:0003762	vitamin D deficiency	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
FHBfoqZCR6	Dental caries	EFO:0003819	dental caries	EFO:0003819	dental caries	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
YX369hHBti	Migraine	MONDO:0005277	migraine disorder	EFO:0003821	migraine disorder	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
8tnhndmViz	Pulmonary embolism	EFO:0003827	pulmonary embolism	EFO:0003827	pulmonary embolism	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
7uyUUSsGyX	Other peripheral vascular diseases	EFO:0003875	peripheral vascular disease	EFO:0003875	peripheral vascular disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
KAmN4jN83X	Multiple sclerosis	MONDO:0005301	multiple sclerosis	EFO:0003885	multiple sclerosis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
JALrUDq6NL	Acne	EFO:0003894	acne	EFO:0003894	acne	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
6vNv7C38sf	Ankylosing spondylitis	EFO:0003898	ankylosing spondylitis	EFO:0003898	ankylosing spondylitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
vnnyMMpZm8	Angina pectoris	EFO:0003913	angina pectoris	EFO:0003913	angina pectoris	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
iHciUedq2t	Atherosclerosis	EFO:0003914	atherosclerosis	EFO:0003914	atherosclerosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
FDnehhGaPA	Gastro oesophageal reflux disease	EFO:0003948	gastroesophageal reflux disease	EFO:0003948	gastroesophageal reflux disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
8GtXz4iN74	Sunburn	EFO:0003958	sunburn	EFO:0003958	sunburn	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
gUqd2krW6Z	Cleft lip	EFO:0003959	cleft lip	EFO:0003959	cleft lip	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
fTv7v6ZCYt	Androgenic alopecia	EFO:0004191	androgenetic alopecia	EFO:0004191	androgenic alopecia	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
vPxqqRZnaN	Alopecia areata	EFO:0004192	alopecia areata	EFO:0004192	alopecia areata	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
zkPgwfmzhj	Vitiligo	EFO:0004208	Vitiligo	EFO:0004208	vitiligo	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
zyVYvW39DB	Hypospadias	EFO:0004209	hypospadias	EFO:0004209	hypospadias	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
wnEJAjZ7Bv	Otosclerosis	EFO:0004213	otosclerosis	EFO:0004213	otosclerosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
ZQ5Qwp2zPK	Conduct disorders	EFO:0004216	conduct disorder	EFO:0004216	conduct disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
JUtbiaXb4h	Male infertility	EFO:0004248	male infertility	EFO:0004248	male infertility	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
jT2jnkfRRx	Meningococcal infection	EFO:0004249	meningococcal infection	EFO:0004249	meningococcal infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
bWYLqCciyw	Calculus of kidney and ureter	EFO:0004253	nephrolithiasis	EFO:0004253	nephrolithiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
V9aKGWKhsx	Nephrotic syndrome	EFO:0004255	nephrotic syndrome	EFO:0004255	nephrotic syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
JHePyhnAqE	Osteonecrosis	EFO:0004259	osteonecrosis	EFO:0004259	osteonecrosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
97iXotGBnb	Paget s disease of bone	EFO:0004261	osteitis deformans	EFO:0004261	osteitis deformans	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
GgxoKCkRT9	Other anaemias	HP:0001915	Aplastic anemia	EFO:0004272	anemia	More Specific	FALSE	FALSE	TRUE	FALSE	FALSE										
E4NTZLYN6v	Gout	EFO:0004274	gout	EFO:0004274	gout	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
QWE5rdx5CA	Diabetes mellitus in pregnancy	EFO:0004593	gestational diabetes	EFO:0004593	gestational diabetes	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Zu6fTuCqkE	Duodenal ulcer	EFO:0004607	duodenal ulcer	EFO:0004607	duodenal ulcer	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
gJc58zmdSS	Cholelithiasis	EFO:0004799	cholelithiasis	EFO:0004799	cholelithiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
ewzSXcxGoZ	Leishmaniasis	EFO:0005044	Leishmaniasis	EFO:0005044	Leishmaniasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
ZD7xSpmkMX	Eating disorders	EFO:0005203	eating disorder	EFO:0005203	eating disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
BwcRKgEop3	Hypotension	EFO:0005251	hypotension	EFO:0005251	hypotension	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
rS2apQ6eRV	Unspecified contact dermatitis	EFO:0005319	contact dermatitis	EFO:0005319	contact dermatitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
iransn6DhY	Schizoaffective disorders	EFO:0005411	schizoaffective disorder	EFO:0005411	schizoaffective disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
9ejZ8HbTzW	Urticaria	EFO:0005531	urticaria	EFO:0005531	urticaria	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
EoSWSBZtsU	Seborrhoeic keratosis	EFO:0005584	seborrheic keratosis	EFO:0005584	seborrheic keratosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
zDdeGnxqxn	Shigellosis	EFO:0005585	shigellosis	EFO:0005585	shingellosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
UEfS254QLw	Other vitamin deficiencies	EFO:0003762	vitamin D deficiency	EFO:0005878	vitamin deficiency	More Specific	FALSE	FALSE	TRUE	FALSE	FALSE										
dXQaGP5fAS	Zoster	EFO:0006510	Herpes Zoster	EFO:0006510	Herpes Zoster	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
ZN9WoyhfgW	Pyoderma gangrenosum	EFO:0006835	pyoderma gangrenosum	EFO:0006835	pyoderma gangrenosum	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
Ncs4qEpd88	Decubitus ulcer	EFO:0007067	decubitus ulcer	EFO:0007067	decubitus ulcer	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
zs4KdWqBkX	Actinomycosis	EFO:0007128	actinomycosis	EFO:0007128	actinomycosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
HVadFQuhfp	Amoebiasis	EFO:0007144	amebiasis	EFO:0007144	amebiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
imCfxUwNyC	Unspecified appendicitis	EFO:0007149	appendicitis	EFO:0007149	appendicitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
J9FMBBUUUD	Ascariasis	EFO:0007154	ascariasis	EFO:0007154	ascariasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
ZxJWkju6ck	Aspergillosis	EFO:0007157	aspergillosis	EFO:0007157	aspergillosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
RqXGZ2Z3ML	Varicella	EFO:0007204	chickenpox	EFO:0007204	chickenpox	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
c9kF9qV7RB	Cryptococcosis	EFO:0007229	cryptococcosis	EFO:0007229	cryptococcosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
5taxKte9Nb	Echinococcosis	EFO:0007245	echinococcosis	EFO:0007245	echinococcosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
sUM7Eyuo5G	Enterobiasis	EFO:0007254	enterobiasis	EFO:0007254	enterobiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
ZcCcNFKidK	Granuloma inguinale	EFO:0007291	granuloma inguinale	EFO:0007291	granuloma inguinale	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
