Source Term ID	Source Term	t2t.Mapping	t2t.MappingLabel	Benchmark.Mapping	Benchmark.MappingLabel	Classification	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess
NCIT:C34447	Head and Neck Squamous Cell Carcinoma	EFO:0000181	head and neck squamous cell carcinoma	EFO:0000181	head and neck squamous cell carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:684	hepatocellular carcinoma	EFO:0000182	hepatocellular carcinoma	EFO:0000182	hepatocellular carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:686	liver carcinoma	EFO:0000182	hepatocellular carcinoma	EFO:0000182	hepatocellular carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000182	hepatocellular carcinoma	EFO:0000182	hepatocellular carcinoma	EFO:0000182	hepatocellular carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3099	Hepatocellular Carcinoma	EFO:0000182	hepatocellular carcinoma	EFO:0000182	hepatocellular carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:8567	Hodgkin's lymphoma	EFO:0000183	Hodgkins lymphoma	EFO:0000183	Hodgkins lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000183	Hodgkins lymphoma	EFO:0000183	Hodgkins lymphoma	EFO:0000183	Hodgkins lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C9357	Hodgkin Lymphoma	EFO:0000183	Hodgkins lymphoma	EFO:0000183	Hodgkins lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:3008	invasive ductal carcinoma	EFO:0000186	invasive breast ductal carcinoma	EFO:0000186	invasive breast ductal carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000186	invasive breast ductal carcinoma	EFO:0000186	invasive breast ductal carcinoma	EFO:0000186	invasive breast ductal carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004953	invasive ductal breast carcinoma	EFO:0000186	invasive breast ductal carcinoma	EFO:0000186	invasive breast ductal carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4194	Invasive Breast Carcinoma of No Special Type	EFO:1000307	Invasive Breast Carcinoma	EFO:0000186	invasive breast ductal carcinoma	More General	TRUE	FALSE	FALSE	FALSE	FALSE
BTO:0002071	Kaposi's sarcoma cell	EFO:0000558	Kaposi's sarcoma	EFO:0000187	Kaposi's sarcoma cell	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:0050909	extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue	EFO:0000191	MALT lymphoma	EFO:0000191	MALT lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000191	MALT lymphoma	EFO:0000191	MALT lymphoma	EFO:0000191	MALT lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3898	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue	EFO:0000191	MALT lymphoma	EFO:0000191	MALT lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:3687	MELAS syndrome	MONDO:0010789	MELAS syndrome	EFO:0000192	obsolete_MELAS syndrome	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:5940	malignant peripheral nerve sheath tumor	EFO:0000760	malignant peripheral nerve sheath tumor	EFO:0000194	obsolete_malignant peripheral nerve sheath tumor class	Same	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:14221	abdominal obesity-metabolic syndrome 1	MONDO:0011565	metabolic syndrome X	EFO:0000195	metabolic syndrome	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000196	metastatic prostate cancer	EFO:0000196	metastatic prostate cancer	EFO:0000196	metastatic prostate cancer	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004956	metastatic prostate carcinoma	EFO:0000196	metastatic prostate cancer	EFO:0000196	metastatic prostate cancer	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C8946	Metastatic Prostate Carcinoma	EFO:0000196	metastatic prostate cancer	EFO:0000196	metastatic prostate cancer	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:3030	mucinous adenocarcinoma	EFO:0000197	mucinous carcinoma	EFO:0000197	mucinous carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000197	mucinous carcinoma	EFO:0000197	mucinous carcinoma	EFO:0000197	mucinous carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004957	mucinous adenocarcinoma	EFO:0000197	mucinous carcinoma	EFO:0000197	mucinous carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C26712	Mucinous Adenocarcinoma	EFO:0000197	mucinous carcinoma	EFO:0000197	mucinous carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0050908	myelodysplastic syndrome	EFO:0000198	myelodysplastic syndrome	EFO:0000198	myelodysplastic syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3247	Myelodysplastic Syndrome	EFO:0000198	myelodysplastic syndrome	EFO:0000198	myelodysplastic syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0050866	oral squamous cell carcinoma	EFO:0000199	oral squamous cell carcinoma	EFO:0000199	oral squamous cell carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004958	oral cavity squamous cell carcinoma	EFO:0000199	oral squamous cell carcinoma	EFO:0000199	oral squamous cell carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4833	Oral Cavity Squamous Cell Carcinoma	EFO:0000199	oral squamous cell carcinoma	EFO:0000199	oral squamous cell carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:6536	plasma cell neoplasm	EFO:0000200	plasma cell neoplasm	EFO:0000200	plasma cell neoplasm	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4665	Plasma Cell Neoplasm	EFO:0000200	plasma cell neoplasm	EFO:0000200	plasma cell neoplasm	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:7442	monoclonal gammopathy of uncertain significance	EFO:0000203	monoclonal gammopathy	EFO:0000203	monoclonal gammopathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004960	monoclonal gammopathy	EFO:0000203	monoclonal gammopathy	EFO:0000203	monoclonal gammopathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C35548	Monoclonal Gammopathy	EFO:0000203	monoclonal gammopathy	EFO:0000203	monoclonal gammopathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000205	stage I endometrioid carcinoma	EFO:0000205	stage I endometrioid carcinoma	EFO:0000205	stage I endometrioid carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000206	stage II endometrioid carcinoma	EFO:0000206	stage II endometrioid carcinoma	EFO:0000206	stage II endometrioid carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0050523	adult T-cell leukemia/lymphoma	EFO:1001936	adult T acute lymphoblastic leukemia	EFO:0000209	T-cell acute lymphoblastic leukemia	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5603	T-cell acute lymphoblastic leukemia	EFO:0000209	T-cell acute lymphoblastic leukemia	EFO:0000209	T-cell acute lymphoblastic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3183	T Acute Lymphoblastic Leukemia	EFO:1001936	adult T acute lymphoblastic leukemia	EFO:0000209	T-cell acute lymphoblastic leukemia	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE
CL:0000542	lymphocyte	EFO:0803546	lymphocyte measurement	EFO:0000210	obsolete_T lymphocyte	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
EFO:0000211	unspecified peripheral T-cell lymphoma	MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	EFO:0000211	unspecified peripheral T-cell lymphoma	Sibling	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004964	peripheral T-cell lymphoma, not otherwise specified	EFO:0000211	unspecified peripheral T-cell lymphoma	EFO:0000211	unspecified peripheral T-cell lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4340	Peripheral T-Cell Lymphoma, Not Otherwise Specified	EFO:0000211	unspecified peripheral T-cell lymphoma	EFO:0000211	unspecified peripheral T-cell lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:2154	nephroblastoma	ORPHANET.ORDO:654	Nephroblastoma	EFO:0000212	obsolete_Wilms tumor	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:3025	acinar cell carcinoma	EFO:0000216	acinar cell carcinoma	EFO:0000216	acinar cell carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3768	Acinar Cell Carcinoma	EFO:0000216	acinar cell carcinoma	EFO:0000216	acinar cell carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4029	gastritis	EFO:0000337	chronic gastritis	EFO:0000217	gastritis	Same	TRUE	FALSE	FALSE	FALSE	FALSE
HP:0005263	Gastrit	EFO:0000217	gastritis	EFO:0000217	gastritis	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004966	gastritis	EFO:0000337	chronic gastritis	EFO:0000217	gastritis	More Specific	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C26780	Gastritis	EFO:0000337	chronic gastritis	EFO:0000217	gastritis	More Specific	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0080780	acute erythroid leukemia	EFO:0000218	acute erythroleukemia	EFO:0000218	acute erythroleukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C8923	Acute Erythroid Leukemia	EFO:0000218	acute erythroleukemia	EFO:0000218	acute erythroleukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5600	obsolete precursor lymphoblastic lymphoma/leukemia	EFO:0000220	acute lymphoblastic leukemia	EFO:0000219	obsolete_acute lymphoblastic leukemia	More Specific	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:1037	lymphoid leukemia	EFO:0004289	lymphoid leukemia	EFO:0000220	acute lymphoblastic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:9952	acute lymphoblastic leukemia	EFO:0000220	acute lymphoblastic leukemia	EFO:0000220	acute lymphoblastic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
HP:0006721	Acute lymfatische leukemie	EFO:1000068	Acute Leukemia	EFO:0000220	acute lymphoblastic leukemia	More General	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004967	acute lymphoblastic leukemia	EFO:0000220	acute lymphoblastic leukemia	EFO:0000220	acute lymphoblastic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3167	Acute Lymphoblastic Leukemia	EFO:0000220	acute lymphoblastic leukemia	EFO:0000220	acute lymphoblastic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:8864	acute monocytic leukemia	EFO:0000221	acute monocytic leukemia	EFO:0000221	acute monocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4861	Acute Monocytic Leukemia	EFO:0000221	acute monocytic leukemia	EFO:0000221	acute monocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:9119	acute myeloid leukemia	EFO:0000222	acute myeloid leukemia	EFO:0000222	acute myeloid leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3171	Acute Myeloid Leukemia	EFO:0000222	acute myeloid leukemia	EFO:0000222	acute myeloid leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0081082	acute myelomonocytic leukemia	EFO:0000223	acute myelomonocytic leukemia	EFO:0000223	acute myelomonocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0018871	acute myelomonocytic leukemia M4	EFO:0000223	acute myelomonocytic leukemia	EFO:0000223	acute myelomonocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C7463	Acute Myelomonocytic Leukemia	EFO:0000223	acute myelomonocytic leukemia	EFO:0000223	acute myelomonocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0060318	acute promyelocytic leukemia	EFO:0000224	acute promyelocytic leukemia	EFO:0000224	acute promyelocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0081081	acute promyelocytic leukemia with PML-RARA	EFO:0000224	acute promyelocytic leukemia	EFO:0000224	acute promyelocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000224	acute promyelocytic leukemia	EFO:0000224	acute promyelocytic leukemia	EFO:0000224	acute promyelocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3182	Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA	EFO:0000224	acute promyelocytic leukemia	EFO:0000224	acute promyelocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004969	acute quadriplegic myopathy	EFO:0000225	acute quadriplegic myopathy	EFO:0000225	acute quadriplegic myopathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
ZFA:0000311	adductor mandibulae complex	EFO:0007356	mandibular cancer	EFO:0000227	obsolete_adductor mandibulae complex	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:299	adenocarcinoma	EFO:0000228	adenocarcinoma	EFO:0000228	adenocarcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C2852	Adenocarcinoma	EFO:0000228	adenocarcinoma	EFO:0000228	adenocarcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
ZFA:0001198	adenohypophyseal placode	EFO:0001380	hypopituitarism	EFO:0000229	obsolete_adenohypophyseal placode	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000040	adenohypophysis	MONDO:0024468	anterior pituitary gland disorder	EFO:0000230	obsolete_adenohypophysis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:0080202	adenoid cystic carcinoma	EFO:0000231	adenoid cystic carcinoma	EFO:0000231	adenoid cystic carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C2970	Adenoid Cystic Carcinoma	EFO:0000231	adenoid cystic carcinoma	EFO:0000231	adenoid cystic carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:657	adenoma	EFO:0000232	adenoma	EFO:0000232	adenoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C2855	Adenoma	EFO:0000232	adenoma	EFO:0000232	adenoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4829	adenosquamous lung carcinoma	EFO:0000233	adenosquamous lung carcinoma	EFO:0000233	adenosquamous lung carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C9133	Lung Adenosquamous Carcinoma	EFO:0000233	adenosquamous lung carcinoma	EFO:0000233	adenosquamous lung carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
BTO:0000045	adrenal cortex	MONDO:0036591	adrenal cortex neoplasm	EFO:0000237	obsolete_adrenal cortex	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
MA:0000118	adrenal gland cortex	MONDO:0036591	adrenal cortex neoplasm	EFO:0000237	obsolete_adrenal cortex	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
XAO:0000165	adrenal cortex	MONDO:0036591	adrenal cortex neoplasm	EFO:0000237	obsolete_adrenal cortex	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:0050892	adrenal gland pheochromocytoma	EFO:0000239	adrenal gland pheochromocytoma	EFO:0000239	adrenal gland pheochromocytoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3326	Adrenal Gland Pheochromocytoma	EFO:0000239	adrenal gland pheochromocytoma	EFO:0000239	adrenal gland pheochromocytoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
BTO:0000810	malpighian tubule	EFO:0009566	renal tubule disease	EFO:0000243	obsolete_Malpighian tubule	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00005725	adult Malpighian tubule	EFO:0001272	adult	EFO:0000243	obsolete_Malpighian tubule	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00005786	Malpighian tubule	EFO:0009566	renal tubule disease	EFO:0000243	obsolete_Malpighian tubule	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00000449	adult midgut progenitor cell	EFO:0000244	adult midgut precursor	EFO:0000244	adult midgut precursor	Same	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:8461	Aicardi syndrome	MONDO:0010568	Aicardi syndrome	EFO:0000247	obsolete_Aicardi syndrome	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:4051	alveolar rhabdomyosarcoma	EFO:0000248	alveolar rhabdomyosarcoma	EFO:0000248	alveolar rhabdomyosarcoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
HP:0006779	Alveolair rhabdomyosarcoom	EFO:0000248	alveolar rhabdomyosarcoma	EFO:0000248	alveolar rhabdomyosarcoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0009994	alveolar rhabdomyosarcoma	EFO:0000248	alveolar rhabdomyosarcoma	EFO:0000248	alveolar rhabdomyosarcoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3749	Alveolar Rhabdomyosarcoma	EFO:0000248	alveolar rhabdomyosarcoma	EFO:0000248	alveolar rhabdomyosarcoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:10652	Alzheimer's disease	MONDO:0004975	Alzheimer disease	EFO:0000249	obsolete_Alzheimer's disease	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00000095	amnioserosa	HP:0001561	Polyhydramnios	EFO:0000250	obsolete_amnioserosa	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001042	amygdala	EFO:0006934	amygdala volume	EFO:0000252	obsolete_amygdala	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FMA:61841	Amygdala	EFO:0006934	amygdala volume	EFO:0000252	obsolete_amygdala	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
MA:0000887	amygdala	EFO:0006934	amygdala volume	EFO:0000252	obsolete_amygdala	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:332	amyotrophic lateral sclerosis	MONDO:0004976	amyotrophic lateral sclerosis	EFO:0000253	obsolete_amyotrophic lateral sclerosis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00005482	obsolete anal pad specific anlage	EFO:0000254	anal pad specific anlage	EFO:0000254	anal pad specific anlage	Same	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:0111147	angioimmunoblastic T-cell lymphoma	EFO:0000255	angioimmunoblastic T-cell lymphoma	EFO:0000255	angioimmunoblastic T-cell lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C7528	Follicular Helper T-Cell Lymphoma, Angioimmunoblastic-Type	EFO:0000255	angioimmunoblastic T-cell lymphoma	EFO:0000255	angioimmunoblastic T-cell lymphoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
FBbt:00005537	wing disc-derived cell-line	EFO:0005738	ESC derived cell line	EFO:0000258	antennal primordium2	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00005418	obsolete anterior endoderm anlage in statu nascendi	EFO:0000260	anterior endoderm anlage in statu nascendi	EFO:0000260	anterior endoderm anlage in statu nascendi	Same	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00005524	FBbt_00005524	EFO:0005352	GM20000	EFO:0000261	anterior endoderm primordium	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00005487	obsolete anterior spiracle specific anlage	EFO:0000263	anterior spiracle specific anlage	EFO:0000263	anterior spiracle specific anlage	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000135	aorta	EFO:0005775	aortic disease	EFO:0000265	obsolete_aorta	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00003153	adult aorta	EFO:0001272	adult	EFO:0000265	obsolete_aorta	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FMA:3734	Aorta	EFO:0005775	aortic disease	EFO:0000265	obsolete_aorta	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
MA:0000476	dorsal aorta	EFO:0001656	dorsal	EFO:0000265	obsolete_aorta	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
XAO:0003010	aorta	EFO:0005775	aortic disease	EFO:0000265	obsolete_aorta	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
ZFA:0000014	dorsal aorta	EFO:0001656	dorsal	EFO:0000265	obsolete_aorta	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:1712	aortic valve stenosis	MONDO:0042981	aortic valve stenosis	EFO:0000266	aortic stenosis	Sibling	TRUE	FALSE	FALSE	FALSE	FALSE
BTO:0000034	apical meristem	EFO:0001653	apical	EFO:0000267	obsolete_apical meristem	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:2841	asthma	MONDO:0004979	asthma	EFO:0000270	obsolete_asthma	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:3069	malignant astrocytoma	EFO:0002499	anaplastic astrocytoma	EFO:0000271	obsolete_astrocytic tumor	More Specific	FALSE	FALSE	FALSE	FALSE	FALSE
EFO:0000272	astrocytoma	EFO:0000272	astrocytoma	EFO:0000272	astrocytoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0019781	astrocytoma (excluding glioblastoma)	MONDO:0018177	glioblastoma	EFO:0000272	astrocytoma	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE
